Designator,Mid X,Mid Y,Layer,Rotation
CONN2,464.6,483.98,Top,0
IC6,508.32,563.24,Top,0
CONN6,558.67,570.05,Top,0
CONN1,431.7,472.77,Top,0
IC9,526.2,535.6,Top,90
IC11,537.55,535.6,Top,90
C1,408.3,509.9,Top,0
C2,408.4,467.1,Top,0
C3,429.8,505.1,Top,90
C4,433,488.1,Top,90
C5,440,501.2,Top,90
C6,441.75,477.45,Top,0
C7,442.1,490.25,Top,0
C8,447,491.7,Top,270
C9,462.1,493.8,Top,0
C10,466.7,493.9,Top,0
C11,466.8,451.9,Top,90
C12,471.6,493.8,Top,0
C13,473.4,468.6,Top,0
C14,473.9,451.8,Top,270
C15,476.3,493.8,Top,0
C16,476.75,482.25,Top,0
C17,482.3,575.8,Top,0
C18,483.55,506.4,Top,0
C19,486.5,576,Top,0
C20,486.4,500.9,Top,270
C21,491.9,575.8,Top,0
C22,490.25,506.5,Top,0
C23,500.3,467.15,Top,90
C24,500.6,455.43,Top,90
C25,505.7,576.1,Top,0
C27,509.5,576.1,Top,0
C28,508.4,555.6,Top,270
C29,508.4,545.4,Top,270
C30,509.4,515.2,Top,90
C32,513.6,576.1,Top,0
C39,536.1,514,Top,90
C40,544.8,496.8,Top,270
C41,551.1,520.1,Top,270
C42,551.4,508.6,Top,270
C43,551.2,496.8,Top,270
C44,557.1,520.1,Top,270
C45,557.3,508.7,Top,270
C46,557.4,496.8,Top,270
IC5,487.2,490.8,Top,0
X2,510.47,473.79,Top,0
C26,506.97,473.73,Top,0
C31,511.7,465.4,Top,90
C33,513.67,473.73,Top,0
C34,514.17,453.73,Top,90
C35,519.47,469.63,Top,0
C36,520.9,446.5,Top,180
C37,532.07,452.3,Top,180
C38,533.87,465.93,Top,270
C48,572.1,488.7,Top,0
C51,583.9,497.65,Top,90
C52,588.3,543.5,Top,270
CONN5,492.13,553.09,Top,270
IC1,410.31,515.74,Top,270
IC2,410.31,473.19,Top,270
LD1,566.6,489.4,Top,0
LED1,537.17,476.63,Top,180
LED2,541.87,476.63,Top,180
IC12,572.08,517.19,Top,270
IC4,467.5,464.6,Top,0
L1,513.97,450.93,Top,180
SWPROG,583.75,484.42,Top,0
IC7,509.68,524.25,Top,180
IC3,433.02,494.53,Top,0
Q1,492,528.1,Top,0
R1,413.3,504.5,Top,0
R2,413.3,501.2,Top,180
R3,413.7,487.77,Top,0
R4,413.8,484.9,Top,0
R5,416.4,514.5,Top,180
R6,415.6,474.7,Top,180
R7,423.6,495,Top,0
R8,423.58,491.67,Top,180
R9,429.7,501.3,Top,180
R10,433.9,501.2,Top,0
R11,442.4,495.3,Top,0
R12,447.2,495.3,Top,0
R13,462.1,500.5,Top,270
R14,466.6,500.5,Top,270
R15,466.8,473.5,Top,0
R16,466.9,455,Top,180
R17,471.6,500.4,Top,270
R18,472.15,483.3,Top,0
R19,476.3,500.2,Top,270
R20,476,455.1,Top,180
R21,482.2,581.8,Top,90
R22,482.35,510.8,Top,0
R23,482.9,551.4,Top,180
R24,486.5,581.9,Top,90
R25,489.15,511.1,Top,0
R26,491.9,581.8,Top,90
R27,491.7,532.3,Top,0
R28,491.8,522.8,Top,180
R29,505.7,581.4,Top,90
R30,509.5,581.4,Top,90
R31,508.4,548.7,Top,0
R32,509.47,457.33,Top,180
R33,513.6,581.5,Top,90
R34,517.6,451.2,Top,270
R35,521.5,474.15,Top,270
R36,529.5,450.3,Top,90
R37,534.2,499.6,Top,90
R38,537.17,482.13,Top,270
R39,538.77,462.13,Top,180
R40,538.87,459.13,Top,180
R41,541.97,482.23,Top,270
R42,544.8,503,Top,0
R43,544.8,500,Top,0
R44,551.3,526.6,Top,180
R45,551.2,523.2,Top,0
R46,551.2,515,Top,0
R47,551.2,511.9,Top,0
R48,551.2,503.1,Top,0
R49,551.2,500.1,Top,0
R50,557.5,526.5,Top,180
R51,557.3,523.3,Top,0
R52,557.3,514.9,Top,0
R53,557.3,512,Top,0
R54,557.5,503.1,Top,0
R55,557.2,500,Top,0
R56,590.68,477.63,Top,270
R57,590.68,473.63,Top,90
R58,590.58,467.83,Top,90
R59,590.68,462.23,Top,90
R60,590.78,457.53,Top,270
R61,590.78,452.73,Top,90
R62,590.88,447.73,Top,270
CONN3,470.81,567.05,Top,270
CONN7,570.87,423.18,Top,0
CONN4,471.48,534.67,Top,270
IC10,535.38,506.4,Top,0
D1,572.5,532.95,Top,90
D2,573.75,502.7,Top,0
IC8,523.76,460.31,Top,0
L2,587.8,517.4,Top,90
CONN8,583.65,462.83,Top,270
C47,568.05,479.2,Top,0
C49,583.9,506.7,Top,0
C50,583.95,501.6,Top,0
C53,587.85,534.1,Top,0
X1,501.55,461.3,Top,270
